"id"|"name"|"continent"|"flag_url"|"gold_medals"|"silver_medals"|"bronze_medals"|"total_medals"|"rank"|"rank_total_medals"|"DataCollectionDate"
"CHN"|"China"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/CHN.png"|"18"|"15"|"9"|"42"|"1"|"2"|"2024-08-04T15:47:58.5166838Z"
"USA"|"EUA"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/USA.png"|"14"|"25"|"25"|"64"|"2"|"1"|"2024-08-04T15:47:58.5166838Z"
"FRA"|"França"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/FRA.png"|"12"|"14"|"16"|"42"|"3"|"2"|"2024-08-04T15:47:58.5166838Z"
"AUS"|"Austrália"|"OCE"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/AUS.png"|"12"|"8"|"7"|"27"|"4"|"5"|"2024-08-04T15:47:58.5166838Z"
"GBR"|"Grã-Bretanha"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/GBR.png"|"10"|"11"|"15"|"36"|"5"|"4"|"2024-08-04T15:47:58.5166838Z"
"KOR"|"República da Coréia"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/KOR.png"|"10"|"7"|"7"|"24"|"6"|"6"|"2024-08-04T15:47:58.5166838Z"
"JPN"|"Japão"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/JPN.png"|"8"|"5"|"9"|"22"|"7"|"7"|"2024-08-04T15:47:58.5166838Z"
"ITA"|"Itália"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/ITA.png"|"6"|"8"|"5"|"19"|"8"|"8"|"2024-08-04T15:47:58.5166838Z"
"NED"|"Países Baixos"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/NED.png"|"6"|"4"|"4"|"14"|"9"|"10"|"2024-08-04T15:47:58.5166838Z"
"GER"|"Alemanha"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/GER.png"|"5"|"5"|"2"|"12"|"10"|"11"|"2024-08-04T15:47:58.5166838Z"
"CAN"|"Canadá"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/CAN.png"|"4"|"4"|"8"|"16"|"11"|"9"|"2024-08-04T15:47:58.5166838Z"
"ROU"|"Romênia"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/ROU.png"|"3"|"3"|"1"|"7"|"12"|"14"|"2024-08-04T15:47:58.5166838Z"
"HUN"|"Hungria"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/HUN.png"|"3"|"2"|"2"|"7"|"13"|"14"|"2024-08-04T15:47:58.5166838Z"
"IRL"|"Irlanda"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/IRL.png"|"3"|"0"|"2"|"5"|"14"|"20"|"2024-08-04T15:47:58.5166838Z"
"NZL"|"Nova Zelândia"|"OCE"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/NZL.png"|"2"|"4"|"1"|"7"|"15"|"14"|"2024-08-04T15:47:58.5166838Z"
"CRO"|"Croácia"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/CRO.png"|"2"|"1"|"1"|"4"|"16"|"22"|"2024-08-04T15:47:58.5166838Z"
"BEL"|"Bélgica"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BEL.png"|"2"|"0"|"2"|"4"|"17"|"22"|"2024-08-04T15:47:58.5166838Z"
"HKG"|"Hong Kong, China"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/HKG.png"|"2"|"0"|"2"|"4"|"17"|"22"|"2024-08-04T15:47:58.5166838Z"
"AZE"|"Azerbaijão"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/AZE.png"|"2"|"0"|"0"|"2"|"19"|"35"|"2024-08-04T15:47:58.5166838Z"
"PHI"|"Filipinas"|"ASI"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/PHI.png"|"2"|"0"|"0"|"2"|"19"|"35"|"2024-08-04T15:47:58.5166838Z"
"SRB"|"Sérvia"|"EUR"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/SRB.png"|"2"|"0"|"0"|"2"|"19"|"35"|"2024-08-04T15:47:58.5166838Z"
"BRA"|"Brasil"|"AME"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BRA.png"|"1"|"4"|"5"|"10"|"22"|"12"|"2024-08-04T15:47:58.5166838Z"
