"id"|"day"|"discipline_name"|"discipline_pictogram"|"name"|"venue_name"|"event_name"|"detailed_event_name"|"start_date"|"end_date"|"status"|"is_medal_event"|"is_live"|"gender_code"|"DataCollectionDate"
"14737"|"2024-08-01"|"Surfing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SRF.avif"||"Teahupo'o, Tahiti"|"Women"|"Women's Round 3 - Heat 1"|"2024-08-01T19:00:00+02:00"|"2024-08-01T19:30:00+02:00"|"Finished"|"0"|"0"|"W"|"2024-08-04T20:46:05.0773867Z"
"14738"|"2024-08-01"|"Surfing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SRF.avif"||"Teahupo'o, Tahiti"|"Women"|"Women's Round 3 - Heat 2"|"2024-08-01T19:36:00+02:00"|"2024-08-01T20:06:00+02:00"|"Finished"|"0"|"0"|"W"|"2024-08-04T20:46:05.0773867Z"
"14739"|"2024-08-01"|"Surfing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SRF.avif"||"Teahupo'o, Tahiti"|"Women"|"Women's Round 3 - Heat 3"|"2024-08-01T20:12:00+02:00"|"2024-08-01T20:42:00+02:00"|"Finished"|"0"|"0"|"W"|"2024-08-04T20:46:05.0773867Z"
"14740"|"2024-08-01"|"Surfing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SRF.avif"||"Teahupo'o, Tahiti"|"Women"|"Women's Round 3 - Heat 4"|"2024-08-01T20:48:00+02:00"|"2024-08-01T21:18:00+02:00"|"Finished"|"0"|"0"|"W"|"2024-08-04T20:46:05.0773867Z"
"14741"|"2024-08-01"|"Surfing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SRF.avif"||"Teahupo'o, Tahiti"|"Women"|"Women's Round 3 - Heat 5"|"2024-08-01T21:24:00+02:00"|"2024-08-01T21:54:00+02:00"|"Finished"|"0"|"0"|"W"|"2024-08-04T20:46:05.0773867Z"
"14742"|"2024-08-01"|"Surfing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SRF.avif"||"Teahupo'o, Tahiti"|"Women"|"Women's Round 3 - Heat 6"|"2024-08-01T22:00:00+02:00"|"2024-08-01T22:30:00+02:00"|"Finished"|"0"|"0"|"W"|"2024-08-04T20:46:05.0773867Z"
"14743"|"2024-08-01"|"Surfing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SRF.avif"||"Teahupo'o, Tahiti"|"Women"|"Women's Round 3 - Heat 7"|"2024-08-01T22:36:00+02:00"|"2024-08-01T23:06:00+02:00"|"Finished"|"0"|"0"|"W"|"2024-08-04T20:46:05.0773867Z"
"14744"|"2024-08-01"|"Surfing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SRF.avif"||"Teahupo'o, Tahiti"|"Women"|"Women's Round 3 - Heat 8"|"2024-08-01T23:12:00+02:00"|"2024-08-01T23:42:00+02:00"|"Finished"|"0"|"0"|"W"|"2024-08-04T20:46:05.0773867Z"
"14874"|"2024-08-01"|"Sailing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SAL.avif"||"Marseille Marina"|"Women's Windsurfing"|"Women's Windsurfing - Race 12"|"2024-08-01T12:23:00+02:00"|"2024-08-01T12:44:00+02:00"|"Finished"|"0"|"0"|"W"|"2024-08-04T20:46:05.0773867Z"
"14900"|"2024-08-01"|"Sailing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SAL.avif"||"Marseille Marina"|"Men's Windsurfing"|"Men's Windsurfing - Race 11"|"2024-08-01T12:03:00+02:00"|"2024-08-01T12:24:00+02:00"|"Finished"|"0"|"0"|"M"|"2024-08-04T20:46:05.0773867Z"
