"id"|"day"|"discipline_name"|"discipline_pictogram"|"name"|"venue_name"|"event_name"|"detailed_event_name"|"start_date"|"end_date"|"status"|"is_medal_event"|"is_live"|"gender_code"|"DataCollectionDate"
"16149"|"2024-08-07"|"Sailing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SAL.avif"||"Marseille Marina"|"Women's Kite"|"Women's Kite - Race 7"|"2024-08-07T12:03:00+02:00"|"2024-08-07T12:20:00+02:00"|"Cancelled"|"0"|"0"|"W"|"2024-08-07T22:35:11.7085578Z"
"16155"|"2024-08-07"|"Sailing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SAL.avif"||"Marseille Marina"|"Women's Kite"|"Women's Kite - Race 8"|"2024-08-07T12:43:00+02:00"|"2024-08-07T13:00:00+02:00"|"Cancelled"|"0"|"0"|"W"|"2024-08-07T22:35:11.7085578Z"
"16157"|"2024-08-07"|"Sailing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SAL.avif"||"Marseille Marina"|"Men's Kite"|"Men's Kite - Race 8"|"2024-08-07T12:23:00+02:00"|"2024-08-07T12:40:00+02:00"|"Cancelled"|"0"|"0"|"M"|"2024-08-07T22:35:11.7085578Z"
"16260"|"2024-08-07"|"Sailing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SAL.avif"||"Marseille Marina"|"Men's Kite"|"Men's Kite - Race 9"|"2024-08-07T12:48:00+02:00"|"2024-08-07T13:05:00+02:00"|"Cancelled"|"0"|"0"|"M"|"2024-08-07T22:35:11.7085578Z"
"16262"|"2024-08-07"|"Sailing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SAL.avif"||"Marseille Marina"|"Women's Kite"|"Women's Kite - Race 9"|"2024-08-07T13:23:00+02:00"|"2024-08-07T13:40:00+02:00"|"Cancelled"|"0"|"0"|"W"|"2024-08-07T22:35:11.7085578Z"
"16264"|"2024-08-07"|"Sailing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SAL.avif"||"Marseille Marina"|"Men's Kite"|"Men's Kite - Race 10"|"2024-08-07T13:13:00+02:00"|"2024-08-07T13:30:00+02:00"|"Cancelled"|"0"|"0"|"M"|"2024-08-07T22:35:11.7085578Z"
"16267"|"2024-08-07"|"Sailing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SAL.avif"||"Marseille Marina"|"Women's Kite"|"Women's Kite - Race 10"|"2024-08-07T14:03:00+02:00"|"2024-08-07T14:20:00+02:00"|"Cancelled"|"0"|"0"|"W"|"2024-08-07T22:35:11.7085578Z"
"16271"|"2024-08-07"|"Sailing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SAL.avif"||"Marseille Marina"|"Men's Kite"|"Men's Kite - Race 11"|"2024-08-07T13:38:00+02:00"|"2024-08-07T13:55:00+02:00"|"Cancelled"|"0"|"0"|"M"|"2024-08-07T22:35:11.7085578Z"
"16274"|"2024-08-07"|"Sailing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SAL.avif"||"Marseille Marina"|"Women's Kite"|"Women's Kite - Race 11"|"2024-08-07T14:43:00+02:00"|"2024-08-07T15:00:00+02:00"|"Cancelled"|"0"|"0"|"W"|"2024-08-07T22:35:11.7085578Z"
"16276"|"2024-08-07"|"Sailing"|"https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SAL.avif"||"Marseille Marina"|"Men's Kite"|"Men's Kite - Race 12"|"2024-08-07T14:03:00+02:00"|"2024-08-07T14:20:00+02:00"|"Cancelled"|"0"|"0"|"M"|"2024-08-07T22:35:11.7085578Z"
